case,n_bus,model,cold_converged,cold_iters,cold_rt_s,warm_converged,warm_iters,warm_rt_s,iter_reduction_pct,rt_speedup,gnn_mape_vm_pct,v_violations_warm
case118,118,GAT,True,4,0.05354619026184082,True,5,0.0684974193572998,-25.0,0.7817256586343844,1.1797375679016113,1
case14,14,GCN,True,4,0.029291391372680664,True,4,0.0313410758972168,0.0,0.9346006968217019,1.385445475578308,0
case14,14,GraphSAGE,True,4,0.029291391372680664,True,4,0.026287555694580078,0.0,1.1142683524098025,1.434509038925171,0
case14,14,GAT,True,4,0.029291391372680664,True,4,0.028561830520629883,0.0,1.025543210597928,1.386142373085022,0
case118,118,GCN,True,4,0.04127931594848633,True,5,0.049289703369140625,-25.0,0.8374835539044966,1.197374701499939,1
case118,118,GraphSAGE,True,4,0.04127931594848633,True,5,0.03418874740600586,-25.0,1.2073948032748016,1.2429957389831543,1
case118,118,GAT,True,4,0.04127931594848633,True,5,0.03412485122680664,-25.0,1.2096555578844408,1.1982561349868774,1
case14,14,GCN,True,4,0.030088424682617188,True,4,0.02716517448425293,0.0,1.1076102124821177,1.4397794008255005,0
case14,14,GraphSAGE,True,4,0.030088424682617188,True,4,0.02681708335876465,0.0,1.1219872153913175,1.4922789335250854,0
case14,14,GAT,True,4,0.030088424682617188,True,4,0.026723384857177734,0.0,1.125921167674821,1.440840482711792,0
case30,30,GCN,True,3,0.02379441261291504,True,4,0.024019718170166016,-33.33333333333333,0.9906199749865999,2.166917085647583,0
case30,30,GraphSAGE,True,3,0.02379441261291504,True,4,0.024041414260864258,-33.33333333333333,0.9897259934349495,2.1385550498962402,0
case30,30,GAT,True,3,0.02379441261291504,True,4,0.025518417358398438,-33.33333333333333,0.9324407653785783,2.1661784648895264,0
case30,30,GCN,True,3,0.024351835250854492,True,4,0.02400946617126465,-33.33333333333333,1.014259753929873,3.4052603244781494,0
case30,30,GraphSAGE,True,3,0.024351835250854492,True,4,0.02408003807067871,-33.33333333333333,1.0112872404677273,3.285266876220703,0
